year,round,category_encoded,institute_type_encoded,actual_closing_rank,predicted_closing_rank,residual,abs_error,pct_error,opening_rank,category_str,institute_type_str,institute_type,category,closing_rank,institute,program,quota,gender,std_dev,admission_probability,ci_lower_5,expected_cutoff_50,ci_upper_95,margin,margin_score,recommendation_score
2025,6,2,2,7382.0,7382,-0.2930142305431218,0.2930142305431218,0.0039693068347754,4462,OPEN,IIT,IIT,Safe,7382,Indian Institute of Technology Bhilai,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,7221.248270002974,7385.420240609922,7542.145414204882,5382,0.729070712544026,114.58141425088053
2025,6,2,2,7208.0,7208,-0.2995318697303446,0.2995318697303446,0.0041555475822744,4742,OPEN,IIT,IIT,Safe,7208,Indian Institute of Technology Dharwad,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,7045.3862086950285,7214.569590225405,7354.107202921325,5208,0.7225305216426193,114.45061043285239
2025,6,2,2,6651.0,6651,-0.3231902392171832,0.3231902392171832,0.0048592728795246,4704,OPEN,IIT,IIT,Safe,6651,Indian Institute of Technology Jammu,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,6469.384113161049,6647.858717513209,6821.739797319496,4651,0.6992933393474665,113.98586678694933
2025,6,2,2,6454.0,6454,-0.3321390199407688,0.3321390199407688,0.0051462506963242,4530,OPEN,IIT,IIT,Safe,6454,Indian Institute of Technology Palakkad,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,6289.8585901016695,6451.910528250155,6608.576825784667,4454,0.6901146575766967,113.80229315153393
2025,6,2,2,6242.0,6242,-0.3420089498740708,0.3420089498740708,0.0054791565183285,4256,OPEN,IIT,IIT,Safe,6242,Indian Institute of Technology Goa,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,6066.233109225686,6248.35320936847,6413.188641854867,4242,0.6795898750400513,113.59179750080102
2025,6,2,2,5034.0,5034,-0.3799022149723896,0.3799022149723896,0.0075467265588476,1916,OPEN,IIT,IIT,Safe,5034,Indian Institute of Technology Tirupati,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,4872.9297808715055,5033.862631075406,5217.93428542633,3034,0.6027016289233215,112.05403257846643
2025,6,2,2,4297.0,4297,-0.4685932505108212,0.4685932505108212,0.0109051256809593,4297,OPEN,IIT,IIT,Safe,4297,Indian Institute of Technology Patna,B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya),AI,Gender-Neutral,100.0,1.0,4133.582333474933,4296.962708931403,4467.1353787081425,2297,0.5345589946474284,110.69117989294857
2025,6,2,2,4162.0,4162,-0.419362244560034,0.419362244560034,0.0100759789658826,2344,OPEN,IIT,IIT,Safe,4162,Indian Institute of Technology Bhubaneswar,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,4006.341282304265,4163.981031612899,4324.366588802593,2162,0.5194617972128784,110.38923594425756
2025,6,2,2,3585.0,3585,-0.4437816437257424,0.4437816437257424,0.0123788464079705,2143,OPEN,IIT,IIT,Safe,3585,Indian Institute of Technology (ISM) Dhanbad,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,3418.3171832680614,3583.4140296780643,3759.719932925141,1585,0.4421199442119944,108.84239888423988
2025,6,2,2,3377.0,3377,-0.4356514986120601,0.4356514986120601,0.0129005477824122,1954,OPEN,IIT,IIT,Safe,3377,Indian Institute of Technology Patna,Computer Science and Engineering,AI,Gender-Neutral,100.0,1.0,3219.197018369592,3376.4908825034113,3536.513584789368,1377,0.4077583654130885,108.15516730826177
