year,feature_mode,model,n,mae,rmse,median_absolute_error,r2,forecast_rows,observed_rows,matched_rows,forecast_rows_without_observation,observed_rows_outside_prior_universe,observed_universe_coverage,prediction_interval_coverage,prediction_interval_mean_width,calibration_count,interval_quantile_global
2021,pre_counselling,ridge,48988,8120.547759,18112.23103,5622.448703,0.7720892783,53011,54003,48988,4023,5015,0.9071347888,0.9159998367,30506.77078,87425,14859.58094
2021,pre_counselling,naive_last_year,48988,3092.987507,16130.28598,508,0.819238893,53011,54003,48988,4023,5015,0.9071347888,0.8972401404,10084.1424,87425,4838
2021,pre_counselling,historical_mean,48988,3682.231212,17560.97193,750,0.7857514184,53011,54003,48988,4023,5015,0.9071347888,,,0,
2021,pre_counselling,hist_gradient_boosting,48988,3457.144097,17988.60158,956.4149397,0.7751899803,53011,54003,48988,4023,5015,0.9071347888,,,0,
2022,pre_counselling,ridge,50615,6999.511768,14371.4668,4909.196886,0.8204360385,54003,57180,50615,3388,6565,0.8851871284,0.9377062136,29845.05484,136413,14453.42507
2022,pre_counselling,naive_last_year,50615,2384.308841,13416.74816,468,0.8435010162,54003,57180,50615,3388,6565,0.8851871284,0.9245875729,10111.44985,136413,4891
2022,pre_counselling,historical_mean,50615,3423.921303,15639.78382,666.6666667,0.7873435899,54003,57180,50615,3388,6565,0.8851871284,,,0,
2022,pre_counselling,hist_gradient_boosting,50615,2652.223441,10855.6381,798.8277732,0.8975462877,54003,57180,50615,3388,6565,0.8851871284,,,0,
2023,pre_counselling,ridge,53738,6163.188144,13925.72561,4567.396505,0.867145978,57180,61050,53738,3442,7312,0.8802293202,0.9499237039,28562.03372,187028,13887.4546
2023,pre_counselling,naive_last_year,53738,2274.707879,13260.73547,516,0.8795312893,57180,61050,53738,3442,7312,0.8802293202,0.9301611523,9520.607019,187028,4630
2023,pre_counselling,historical_mean,53738,2925.263037,12605.46624,723.6666667,0.8911428733,57180,61050,53738,3442,7312,0.8802293202,,,0,
2023,pre_counselling,hist_gradient_boosting,53738,2843.017188,18677.60381,819.7814734,0.7610091041,57180,61050,53738,3442,7312,0.8802293202,,,0,
2024,pre_counselling,ridge,47826,5920.628408,17361.58444,3955.296924,0.8448945155,61050,55441,47826,13224,7615,0.8626467777,0.9537280977,27096.30992,240766,13204.45555
2024,pre_counselling,naive_last_year,47826,2389.8206,14651.54224,456,0.8895374349,61050,55441,47826,13224,7615,0.8626467777,0.9090452892,8722.809141,240766,4301
2024,pre_counselling,historical_mean,47826,3086.592322,15707.65056,709.6666667,0.8730388337,61050,55441,47826,13224,7615,0.8626467777,,,0,
2024,pre_counselling,hist_gradient_boosting,47826,2561.163022,15438.85687,718.6566354,0.8773468453,61050,55441,47826,13224,7615,0.8626467777,,,0,
2025,pre_counselling,ridge,52831,5609.050681,16162.10064,3612.284813,0.837267788,55441,70659,52831,2610,17828,0.7476896078,0.9538528515,25998.84467,288592,12718.4821
2025,pre_counselling,naive_last_year,52831,2504.754008,18241.87226,422,0.7926916788,55441,70659,52831,2610,17828,0.7476896078,0.9170184172,8646.750658,288592,4173
2025,pre_counselling,historical_mean,52831,3041.864418,16143.33338,578.5714286,0.8376454944,55441,70659,52831,2610,17828,0.7476896078,,,0,
2025,pre_counselling,hist_gradient_boosting,52831,2661.169013,15922.81329,715.558326,0.8420507677,55441,70659,52831,2610,17828,0.7476896078,,,0,
