dimension,value,n,mae,rmse,median_absolute_error,r2
year,2021,48988,3092.987507,16130.28598,508,0.819238893
year,2022,50615,2384.308841,13416.74816,468,0.8435010162
year,2023,53738,2274.707879,13260.73547,516,0.8795312893
year,2024,47826,2389.8206,14651.54224,456,0.8895374349
year,2025,52831,2504.754008,18241.87226,422,0.7926916788
institute_type,GFTI,28033,2839.005494,8062.921711,992,0.9407478419
institute_type,IIIT,18587,864.9412493,1396.906971,517,0.983303274
institute_type,IIT,70250,368.5923986,685.2569067,159,0.9767399753
institute_type,NIT,137128,3788.48532,20434.8227,682,0.8307695284
category,EWS,44442,1196.628212,4397.574114,287,0.7741459545
category,OBC-NCL,53798,2628.804398,12472.73669,519,0.7825680187
category,OPEN,65091,5439.561276,27481.77894,1022,0.8398107369
category,SC,48747,1128.281166,3272.510327,454,0.7383725579
category,ST,41920,891.9790076,2408.732887,281,0.7055024132
rank_band,1-5k,128372,364.27076,749.1753739,183,0.7173722726
rank_band,100k+,3623,73551.89539,122095.0554,38714,0.59031715
rank_band,15k-50k,42487,3599.219738,6095.683525,2174,0.6305585884
rank_band,50k-100k,9516,9726.279424,18184.64224,5612.5,-0.8859112585
rank_band,5k-15k,70000,1176.393257,2228.297657,759,0.3495908315
